Monitoring cluster status at http://localhost:8080... (Ctrl+C to stop)
Time | Leader ID | State | Term
20:00:08 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:09 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:10 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:11 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:12 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:13 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:14 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:15 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:16 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:17 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:18 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:19 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:20 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:21 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:22 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:23 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:24 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:25 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:26 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:27 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:28 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:29 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
20:00:30 | node-42bc3533-f1cb-4f9d-9c02-84b910a53d80 | LEADER | 0
